istota;projekt;znamka;majitel;cislo;firma;skupina;zhoda_slov;projekt_id
navrh;Montážno – skladová hala Záhorská Bystrica;CENTROPROJEKT;CENTROPROJEKT GROUP a.s.;1321-2006;Centrop s.r.o.;;0;montazno-skladova-hala-zahorska-bystrica
navrh;OBYTNÝ SÚBOR SLNEČNÝ VRCH I, BRATISLAVA – DEVÍNSKA NOVÁ VES;SLNEČNÝ VRCH DEVÍNSKA NOVÁ VES;Slnečný vrch , s.r.o.;1564-2019;Slnečný vrch;;4;obytny-subor-slnecny-vrch-i-bratislava-devinska-nova-ves
navrh;POLYFUNKČNÝ OBJEKT TOMÁŠIKOVA, Bratislava – Nové Mesto;MERIUS;MERIUS , a.s.;3494-2000;MERIUS;;0;polyfunkcny-objekt-tomasikova-bratislava-nove-mesto
navrh;Polyfunkčné domy Podunajská ul., Bratislava;Apollo Residence;Apollo Residence s. r. o.;648-2015;Apollo Group a. s.;;0;polyfunkcne-domy-podunajska-ul-bratislava
navrh;Polyfunkčný komplex GREEN ATRIUM;JJ68;Jágr Team, s.r.o.;499-2021;JAGR;;0;polyfunkcny-komplex-green-atrium
navrh;Polyfunkčný komplex Klingerka - Bratislava;one FASHION OUTLET;KORUNA Finance s.r.o.;5655-2010;KORUNA Reality a.s.;;0;polyfunkcny-komplex-klingerka-bratislava
navrh;Polyfunkčný objekt - Budatínska ulica, Bratislava - Petržalka;IMPA;IMPA Bratislava, a. s.;1075-2017;IMPA Bratislava;;0;polyfunkcny-objekt-budatinska-ulica-bratislava-petrzalka
navrh;Polyfunkčný objekt Autobusová stanica Mlynské Nivy;Nové Nivy by HB Reavis;HB Reavis Group a. s.;1842-2019;Twin City a.s.;HB Reavis;1;polyfunkcny-objekt-autobusova-stanica-mlynske-nivy
navrh;Polyfunkčný objekt Chalupkova R1;"Chalupkova - V súlade s mestom; In sync with the city";Penta Real Estate , a. s.;3005-2024;Smart City Office I s. r. o.;Penta Real Estate;1;polyfunkcny-objekt-chalupkova-r1
navrh;Polyfunkčný súbor Panorama City – II. etapa, Administratívna budova Panorama City II Business Bratislava, Pribinova a Čulenova ul.;Pribinova 1;JTRE a.s.;2266-2026;Wendel;J&T Real Estate;1;polyfunkcny-subor-panorama-city-ii-etapa-administrativna-budova-panora
navrh;Polyfunkčný súbor Panorama City – II. etapa, Administratívna budova Panorama City II Business Bratislava, Pribinova a Čulenova ul.;Pribinova 40;JTRE a.s.;2319-2023;Wendel;J&T Real Estate;1;polyfunkcny-subor-panorama-city-ii-etapa-administrativna-budova-panora
navrh;Polyfunkčný súbor Panorama City – II. etapa, Administratívna budova Panorama City II Business Bratislava, Pribinova a Čulenova ul.;Pribinova 34;JTRE a.s.;2315-2023;Wendel;J&T Real Estate;1;polyfunkcny-subor-panorama-city-ii-etapa-administrativna-budova-panora
navrh;Polyfunkčný súbor Panorama City – II. etapa, Administratívna budova Panorama City II Business Bratislava, Pribinova a Čulenova ul.;TOWER 115 TAKES YOUR BUSINESS HIGHER;JTRE a.s.;5191-2015;Wendel;J&T Real Estate;1;polyfunkcny-subor-panorama-city-ii-etapa-administrativna-budova-panora
navrh;Polyfunkčný súbor Vajnorská;Etapy Vajnorská - Na živej adrese;Penta Real Estate , a. s.;690-2025;UNL;Penta Real Estate;1;polyfunkcny-subor-vajnorska
navrh;SOUTHBANK Bratislava;"Southbank - V súlade s prírodou; In tune with nature";Penta Real Estate , a. s.;3006-2024;South Bank s. r. o.;Penta Real Estate;1;southbank-bratislava
